Profile Name,Show,Has Watched,Is Interested,Event Date
Redona,The Crown,,,2020-04-24
Redona,Money Heist,,,2020-04-24
Redona,Falling Inn Love,,,2020-04-24
Redona,Friends,,,2020-04-24
Redona,Miracle in Cell No. 7,,,2020-04-24
Redona,Mr Bean's Holiday,,,2020-04-24
Redona,Airplane Mode,,,2020-04-24
Redona,Insatiable,,,2020-04-24
Evis,The Crown,,,2020-04-24
Evis,Gossip Girl,,,2020-04-24
Evis,Friends,,,2020-04-24
Evis,Peaky Blinders,,,2020-04-24
Evis,Bird Box,,,2020-04-24
Evis,Money Heist,,,2020-04-24
Evis,Mr Bean's Holiday,,,2020-04-24
Evis,Kill Me If You Dare,,,2020-04-24
Evis,The Perfect Date,,,2020-04-24
Evis,The Princess Switch,,,2020-04-24
